,confidence,price
2016-06-02,0.0,2105.260009765625
2016-06-03,0.0,2099.1298828125
2016-06-06,0.008,2109.409912109375
2016-06-07,0.016,2112.1298828125
2016-06-08,0.0,2119.1201171875
2016-06-09,0.008,2115.47998046875
2016-06-10,0.008,2096.070068359375
2016-06-13,0.0,2079.06005859375
2016-06-14,0.016,2075.320068359375
2016-06-15,0.016,2071.5
2016-06-16,0.016,2077.989990234375
2016-06-17,0.024,2071.219970703125
2016-06-20,0.032,2083.25
2016-06-21,0.016,2088.89990234375
2016-06-22,0.008,2085.449951171875
2016-06-23,0.032,2113.320068359375
2016-06-24,0.016,2037.4100341796875
2016-06-27,0.024,2000.5400390625
2016-06-28,0.016,2036.0899658203125
2016-06-29,0.016,2070.77001953125
2016-06-30,0.016,2098.860107421875
2016-07-01,0.024,2102.949951171875
2016-07-05,0.024,2088.550048828125
2016-07-06,0.032,2099.72998046875
2016-07-07,0.016,2097.89990234375
2016-07-08,0.024,2129.89990234375
2016-07-11,0.032,2137.159912109375
2016-07-12,0.024,2152.139892578125
2016-07-13,0.032,2152.429931640625
2016-07-14,0.032,2163.75
2016-07-15,0.0,2161.739990234375
2016-07-18,0.024,2166.889892578125
2016-07-19,0.016,2163.780029296875
2016-07-20,0.0,2173.02001953125
2016-07-21,0.008,2165.169921875
2016-07-22,0.024,2175.030029296875
2016-07-25,0.048,2168.47998046875
2016-07-26,0.04,2169.179931640625
2016-07-27,0.056,2166.580078125
2016-07-28,0.048,2170.06005859375
2016-07-29,0.064,2173.60009765625
2016-08-01,0.032,2170.840087890625
2016-08-02,0.024,2157.030029296875
2016-08-03,0.048,2163.7900390625
2016-08-04,0.032,2164.25
2016-08-05,0.024,2182.8701171875
2016-08-08,0.016,2180.889892578125
2016-08-09,0.032,2181.739990234375
2016-08-10,0.04,2175.489990234375
2016-08-11,0.024,2185.7900390625
2016-08-12,0.032,2184.050048828125
2016-08-15,0.008,2190.14990234375
2016-08-16,0.04,2178.14990234375
2016-08-17,0.016,2182.219970703125
2016-08-18,0.016,2187.02001953125
2016-08-19,0.024,2183.8701171875
2016-08-22,0.016,2182.639892578125
2016-08-23,0.024,2186.89990234375
2016-08-24,0.04,2175.43994140625
2016-08-25,0.016,2172.469970703125
2016-08-26,0.008,2169.0400390625
2016-08-29,0.024,2180.3798828125
2016-08-30,0.024,2176.1201171875
2016-08-31,0.04,2170.949951171875
2016-09-01,0.008,2170.860107421875
2016-09-02,0.032,2179.97998046875
2016-09-06,0.016,2186.47998046875
2016-09-07,0.0,2186.159912109375
2016-09-08,0.016,2181.300048828125
2016-09-09,0.008,2127.81005859375
2016-09-12,0.032,2159.0400390625
2016-09-13,0.032,2127.02001953125
2016-09-14,0.024,2125.77001953125
2016-09-15,0.0,2147.260009765625
2016-09-16,0.008,2139.159912109375
2016-09-19,0.0,2139.1201171875
2016-09-20,0.024,2139.760009765625
2016-09-21,0.016,2163.1201171875
2016-09-22,0.008,2177.179931640625
2016-09-23,0.008,2164.68994140625
2016-09-26,0.048,2146.10009765625
2016-09-27,0.016,2159.929931640625
2016-09-28,0.008,2171.3701171875
2016-09-29,-0.008,2151.1298828125
2016-09-30,0.032,2168.27001953125
2016-10-03,0.016,2161.199951171875
2016-10-04,0.0,2150.489990234375
2016-10-05,0.008,2159.72998046875
2016-10-06,0.0,2160.77001953125
2016-10-07,0.008,2153.739990234375
2016-10-10,0.0,2163.659912109375
2016-10-11,0.016,2136.72998046875
2016-10-12,0.016,2139.179931640625
2016-10-13,0.008,2132.550048828125
2016-10-14,0.008,2132.97998046875
2016-10-17,0.0,2126.5
2016-10-18,0.008,2139.60009765625
2016-10-19,0.032,2144.2900390625
2016-10-20,0.016,2141.340087890625
2016-10-21,-0.008,2141.159912109375
2016-10-24,0.016,2151.330078125
2016-10-25,0.008,2143.159912109375
2016-10-26,0.024,2139.429931640625
2016-10-27,0.024,2133.0400390625
2016-10-28,0.016,2126.409912109375
2016-10-31,0.024,2126.14990234375
2016-11-01,0.008,2111.719970703125
2016-11-02,0.016,2097.93994140625
2016-11-03,0.008,2088.659912109375
2016-11-04,0.016,2085.179931640625
2016-11-07,0.008,2131.52001953125
2016-11-08,0.0,2139.56005859375
2016-11-09,0.008,2163.260009765625
2016-11-10,0.0,2167.47998046875
2016-11-11,0.0,2164.449951171875
2016-11-14,0.0,2164.199951171875
2016-11-15,0.008,2180.389892578125
2016-11-16,0.0,2176.93994140625
2016-11-17,0.0,2187.1201171875
2016-11-18,0.0,2181.89990234375
2016-11-21,-0.008,2198.179931640625
2016-11-22,-0.008,2202.93994140625
2016-11-23,-0.008,2204.719970703125
2016-11-25,0.0,2213.35009765625
2016-11-28,-0.016,2201.719970703125
2016-11-29,0.0,2204.659912109375
2016-11-30,0.0,2198.81005859375
2016-12-01,0.008,2191.080078125
2016-12-02,-0.008,2191.949951171875
2016-12-05,0.0,2204.7099609375
2016-12-06,-0.008,2212.22998046875
2016-12-07,0.0,2241.35009765625
2016-12-08,-0.008,2246.18994140625
2016-12-09,-0.008,2259.530029296875
2016-12-12,-0.016,2256.9599609375
2016-12-13,-0.008,2271.719970703125
2016-12-14,0.016,2253.280029296875
2016-12-15,-0.024,2262.030029296875
2016-12-16,-0.016,2258.070068359375
2016-12-19,-0.024,2262.530029296875
2016-12-20,0.0,2270.760009765625
2016-12-21,0.016,2265.179931640625
2016-12-22,-0.016,2260.9599609375
2016-12-23,-0.04,2263.7900390625
2016-12-27,-0.016,2268.8798828125
2016-12-28,0.008,2249.919921875
2016-12-29,0.0,2249.260009765625
